Scheme Name,Details,Entities
Interest Subvention Scheme For Housing Loan For Regular State Government Employee Under APUN GHAR,"Apun Ghar is a new home loan scheme for Assam Government employees as per announcement made in the Budget Speech,2016-2017 under which home loans will be provided to the state Government employees at subsidized interest rates to purchase/construct a new house/flat, purchase of an existing/old house/flat or takeover of Home Loans from other Banks only. With Assam Government Interest Subvention Scheme of 3.50%, the present effective rate will be 5% for women and 5.05 % for men.
﻿
The subsidy amount will be released by way of credit to the Salary accounts of the employees from where the installment towards the Home loan is recovered by charging to the prefunded subsidy account maintained by the Government of Assam. The list of beneficiaries will be submitted to Govt. of Assam on monthly basis after the release of the subsidy.
On the basis of SBI’s proposal,the State Government has decided to provide a loan repayment schedule to the State Government employees with pensionable service beyond the age of retirement up to 70 years of age. SBI offered this proposal for those employees who maintain their pension account with SBI and who would provide an undertaking and Standard Instruction (SI) to SBI for the suitable deduction against the EMIs from the pension account.
﻿","{""AGE"": [""2017"", ""70 years of age""], ""GENDER"": [], ""LOCATION"": [""Govt""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Maintenance Of Pregnant Desi/Indigenous Cow/Buffalo Ration Scheme For BPL Families Belonging To Scheduled Caste (SC) Category,"The scheme “
Maintenance of Pregnant Desi/Indigenous Cow/Buffalo Ration Scheme for BPL families belonging to Scheduled Caste (SC) category
” had been launched by the Department of Animal Husbandry, Government of Himachal Pradesh with the aim to provides a 50% subsidy on a balanced ration for pregnant cows or buffalo during the last trimester of pregnancy. Under this scheme, balanced ration @ 3kg/day/cow or buffalo for maximum of two animals for three months during the last trimester of pregnancy at 50% subsidy of BPL families belonging to the Scheduled Caste category may be provided.
Objectives:
Increase in milk production thereby providing more economic gains to the farmers.
To reduce the inter-calving period which will ultimately result in more calves and higher milk production.
To improve the health of pregnant cows & buffaloes so that their full milk production potential can be realized after parturition.
To ensure the birth of healthy calves free of diseases and malnutrition so that they grow to become higher-producing animals.
As the incentive is being given to Desi/Indigenous cows and buffaloes, the farmers can be motivated to rear such animals.
Assumptions:
A balanced ration will be provided @ 3kg/day/cow for three months (last trimester of pregnancy).
The cost will be shared by the Government and beneficiary on a 50:50 basis.
The cost of feed will depend upon the tender/approved rates.","{""AGE"": [""3kg/day"", ""3kg/day""], ""GENDER"": [], ""LOCATION"": [""Desi""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""Scheduled Caste"", ""SC"", ""Scheduled Caste""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Funeral Assistance Scheme (PBAOCWWB),"The ""Funeral Assistance"" is a Welfare Scheme by the Puducherry Building and Other Construction Workers Welfare Board, Labour Department, Union Territory of Puducherry. Through this scheme, the Board may sanction an amount of ₹7,000/- to the nominees/dependents of the deceased Construction Worker towards funeral expenses. The applicant should be submitted within two months from the date of death of the Construction Worker.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""Other Construction Workers Welfare Board""], ""INCOME"": [""7,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Investment Promotion Scheme (IPS) For Handicraft Artisans: Assistance For Capital Investment To Uplift The Economic Condition Of Artisans/ Persons,"The scheme “Assistance For Capital Investment To Uplift The Economic Condition Of Artisans/ Persons” is a sub scheme under the “Investment Promotion Scheme (IPS)” for Handicraft Artisans. It was launched on 3rd July, 2015 for a period of five years by the Dept. of Industries, U.T. Administration Of Dadra & Nagar Haveli And Daman & Diu. Now it has been extended further from 20th May, 2022 and shall be operative till 19th May, 2027.
Objective of the ""Investment Promotion Scheme (IPS)”:
The scheme envisages to provide incentives and assistance to the MSME Sector in order to nurture them and protect them from market vagaries thereby making them vibrant and successful.  therefore making the U.T. a Special Hub for the MSME sector; maximize Women participation in the business sector, reduce unemployment among the local residents and incentivize the industries to employ resident laborers etc.
Objective of the ""Assistance For Capital Investment To Uplift The Economic Condition Of Artisans/ Persons"" Sub-scheme:
Under this scheme, additional tools/equipment shall be provided to SC/ST/OBC/EWS communities to generate adequate income and self-employment. The persons engaged in 27 different activities, such as hawkers, vegetable vendors, carpenters etc. shall be provided financial assistance in the form of tools and equipment over and above the existing schemes.","{""AGE"": [""3rd July, 2015"", ""20th May, 2022"", ""19th May, 2027""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""SC"", ""ST"", ""OBC""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
SMILE - Comprehensive Rehabilitation For Welfare Of Transgender Persons – Skill Development And Training,"A scheme for Transgender Persons to provide employment opportunities to the person belonging to transgender person community by providing them market-oriented skills.
﻿
Objectives
﻿
The main purpose is to provide employment opportunities to the person belonging to transgender person community by providing them market-oriented skills. Areas for imparting skill training have been chosen after careful consideration by the training partners and also based on the national consultations done with the Transgender community. The skills so imparted are expected to be a means to provide ample scope for employment with dignity to the transgender beneficiary.
﻿
Under this scheme two types of skill development training programmes are provided to transgender persons:
Short Term Training Programmes (200 hours to 600 hours and up to 6 months).
Long Term Training Programmes (5 months and above and usually up-to 1 year) (up to 1000 hours).
﻿
﻿","{""AGE"": [""up to 6 months"", ""5 months"", ""1 year""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Primary Cooperative Agriculture and Rural Development Bank: For Horticulture,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Horticulture"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to provide financial support to farmers through loans for horticulture purposes. The loan amount varies from ₹25,000/- to  ₹2,00,000/- per 0.4 hectare, helping farmers expand or improve their horticultural activities. Interest rates range from 11% to 12.75%, subject to market conditions.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""25,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Internship Scheme By The Unique Identification Authority Of India (UIDAI),"The Internship Scheme by the Unique Identification Authority of India (UIDAI) enables the students to gain adequate exposure to various Technology tracks and other units within UIDAI Headquarters, Technology Centre and Regional offices. It would be expected to work in the field of application development, legal domains (like cyber laws/IT act) & general management. For the “Interns” the exposure to the functioning of the UIDAI & the technologies applied shall be an add-on furthering their future career prospects in niche technology, legal domains, management and many other areas as the case may be.
﻿
Objective
To allow young academic talent to be associated with UIDAI’s work for mutual benefit.
The “Interns” shall have an opportunity to know about the UIDAI functioning. It will enable UIDAI to interact with young scholars and to get fresh ideas and study/research support from the field of academics. At the same time, it will provide an opportunity to young scholars to contribute in the UIDAI work and have an insight into the related technical domains, management fields or related legal aspects.
﻿
Period
The period of the Internship shall be at least six weeks but not exceeding 12 months.
NOTE:
Interns not completing the requisite period will not be issued any certificate.
﻿
Place of Internship
All the interns should work either at the Technology Centre, Bengaluru or Regional offices of UIDAI or UIDAI Headquarters or assigned from a remote location under the guidance of the Project Supervisor (not below the Director rank).","{""AGE"": [""12 months""], ""GENDER"": [], ""LOCATION"": [""Bengaluru""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""general""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
YSR Law Nestham,"Being implemented since December 2019, the scheme ""YSR Law Nestham"" by the Law Department, Govt. of Andhra Pradesh provides a monthly stipend of an amount of ₹ 5,000/- to the Junior Advocates. The applicant should be in the rolls of Advocates being maintained by the Andhra Pradesh State Bar Council under Section 17 of the Advocates Act, 1961. Only the Law Graduates, who passed out in the year 2016 and afterward are only eligible.
﻿","{""AGE"": [""December 2019"", ""1961"", ""the year 2016""], ""GENDER"": [], ""LOCATION"": [""Govt""], ""OCCUPATION"": [], ""INCOME"": [""5,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Lakshya Scheme,"The state scheme ""LAKSHYA"" was launched by the Directorate of Higher Education, Government of Tripura. The objective of the scheme is to provide financial support in the form of scholarships to permanent residents in Tripura who have cleared the Civil Services Examination (CSE) conducted by the Union Public Service Commission (UPSC). The intervention will be in the form of direct financial support to candidates clearing  Civil Services which includes Part I (Prelims to main- candidates who cleared prelims and appearing in the mains) and Part II (Mains to Interview- candidates who are invited to appear the interview) conducted by UPSC.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Tripura""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Tagore National Fellowship for Cultural Research,"The Scheme “Tagore National Fellowship for Cultural Research” has been introduced to invigorate and revitalize the various institutions under the Ministry of Culture (MoC) and other identified cultural institutions in the country, by encouraging Fellows/academicians to affiliate themselves with these institutions to work on projects of mutual interest.
With a view to infuse fresh knowledge capital into the institutions, the scheme expects these Fellows/academicians to select specific resources of the institutions to use in their projects and take up research works that are related to the main objectives of these institutions. It is also expected that the research work would enrich the institution with a new creative edge and academic excellence.
Nodal Institutions (Participating Institutions):
The Scheme shall cover the institutions under the Ministry of Culture (MoC), as listed in the Guidelines, and may cover other such institutions in the future. The scheme will also cover Non-MoC institutions with cultural resources like manuscripts, artifacts, antiquities, books, publications, records, etc., and seek to take advantage of the scheme by engaging distinguished Fellows to work on its resources and also known for its rich publications. The nodal institutions (both MoC and non-MoC) are classified into four groups broadly based on their different areas of specialization, focus, and resources. The classification is as follows:
1.	Group-A: Archaeology, Antiquities, Museums & Galleries
2.	Group-B: Archives, Libraries and General Fellowship
3.	Group-C: Anthropology & Sociology
4.	Group D: Crafts, Performing/Visual/Literary Arts
Scope of the Scheme:
The scope of the Scheme is to enable the identified cultural institutions to engage Fellows of outstanding merit, to work on research projects in order to unravel their unexplored resources. For purposes of convenience, monitoring, accounting, and responsibility, one of the institutions listed above would be the ‘Nodal Institution’ for each project, and the Fellows will be attached/anchored to that institution.
Duration of the Fellowship:
The duration of the Fellowship will be for a maximum period of two years.
In exceptional cases, the institution may recommend to the NSC an extension for a period of up to one more year, or a reduction to somewhat less than two years, if it is supported by its assessment of the quality of the work undertaken. However, in the case of extension, the fellow won’t be eligible for any remuneration including contingency.
The award of the Fellowship will commence from the date of joining and the ‘months’ and ‘years’ will be reckoned accordingly.
Number of Fellowships:
The scheme envisages the granting of up to 15 Fellowships in a year.
Each nodal institution can be awarded 1 Fellowship in a year. However, the MoC has the discretionary power to relax these numbers.
Administration of the Scheme:
The total number of Fellowships administered by the institutions may be decided by the Ministry of Culture from time to time, in consultation with the participating institutions. This will be based on certain criteria such as the size of its untapped holdings, physical facilities already existing in the institution, the capacity of the institution to guide and inspire the Fellows to get the best out of them, its past record in publication and research, need for research/study in a particular area, etc. An amount of up to 2% of the total allocation may be set aside for meeting expenses related to the administration of the scheme including monitoring, implementation, inspection, review, etc. of the research work carried out by the Fellows, through outsourcing or Consultants.","{""AGE"": [""1 Fellowship""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""General""], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mahatma Gandhi National Rural Employment Guarantee Act,"An employment scheme by the Ministry of Rural Development, providing provide at least 100 days of guaranteed wage employment in a financial year to every rural household whose adult members volunteer to do unskilled work. Any Indian citizen above the age of 18 years and residing in a rural area can apply to this scheme. The applicant receives guaranteed employment within 15 days from the date of application.
﻿
The wage is deposited directly in the Bank Account / Post Office Account of the applicant. Wages are paid within a week, or fifteen days at most. Men and Women are paid equally. MGNREGA covers the entire country with the exception of districts that have a hundred percent urban population.","{""AGE"": [""at least 100 days"", ""the age of 18 years"", ""15 days""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
West Bengal Transport Workers’ Social Security Scheme: Assistance for Purchase of Spectacles,"The ""West Bengal Transport Workers’ Social Security Scheme: Assistance for Purchase of Spectacles,"" introduced by the Labour Department of West Bengal, aims to improve eye health by providing a financial benefit of ₹500/- for purchasing spectacles. Beneficiaries can claim this assistance once every five years by submitting a valid prescription and proof of purchase.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""500/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks),"The scheme ""Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen(All Ranks)"" by the Department of Ex-Servicemen Welfare of the Ministry of Defence, provide financial assistance for the procurement of modified scooter for those Ex-Servicemen (ESM), who are disabled after their retirement from service with disability of 50% or more. After their retirement, most of the ESMs continue to be engaged in physically challenging activities/work. Some of them unfortunately become handicapped due to accidents etc after their retirement and need mobility equipment such as modified scooters, crutches and wheelchairs to carry on with their life. To procure mobility requirements, the Kendriya Sainik Board (KSB) provides financial assistance to disabled ESMs from the Armed Forces Flag Day Fund (AFFDF).
﻿
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disabled"", ""disabled"", ""disability"", ""handicapped"", ""disabled""]}"
Gargi Puruskar Yojana,"Through the Gargi Puraskar Yojana, girls are given incentives from the government to move forward in the field of education. Girls of all classes can take advantage of the scheme. The amount of this scheme will be given every year on Basant Panchami.
﻿
The girl students who will get the benefit of the scheme in class 10th will be required to enrol in the school in classes 11th and 12th. And the government will give the amount to the beneficiary girl child through a check, so it is mandatory for the girl child to have a bank account. You can apply for the scheme online.","{""AGE"": [""class 10th"", ""12th""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Incentives to Women Entrepreneurs Scheme, 2008","Launched in 2008, the scheme ""Incentives to Women Entrepreneurs Scheme, 2008"" by the Directorate of Industries, Trade and Commerce, Government of Goa aimed to encourage women entrepreneurship and promote self-employment by providing additional incentives to women-owned industrial units. The scheme offered benefits such as interest subsidies, additional employment subsidies, and preferential treatment under capital contribution schemes. Eligible units included those owned by women, either as proprietary concerns or partnerships, with specific ownership criteria. The scheme remained in force until 31st March 2011.","{""AGE"": [""2008"", ""2008"", ""31st March 2011""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
National Post Doctoral Fellowship,"The “National Post Doctoral Fellowship (N-PDF)” was launched by the Science and Engineering Research Board, Government of India to identify motivated young researchers and provide them support for doing research in frontier areas of science and engineering. The fellows will work under a mentor, and it is hoped that this training will provide them with a platform to develop as independent researchers.
Duration of fellowship:
The fellowship is purely a temporary assignment and is tenable for a period of 2 years.","{""AGE"": [""2 years""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
National Fellowship & Scholarship For Higher Education Of Scheduled Tribe (ST) Students,"Part-A: Fellowship Scheme
The National Fellowship Scheme is a Central Sector Scheme by the Ministry of Tribal Affairs with the objective to provide financial assistance to meritorious students from Scheduled Tribes to enable them to pursue higher education (M.Phil or Ph.D.) after completing a post-graduate degree (Master's degree).
Salient Features of the Scheme -
Fellowship under the Scheme will be for pursuing MPhil, Ph.D. by those ST students who have passed the Post-graduation/Master's Degree examination.
Note: -
In case, under the national education policy, there is any change in the type of course, the same will be incorporated in the guidelines.
However, the scholars already covered under the scheme prior to 2021-22, will be allowed to complete the course as per the existing scheme.
Part-B: Scholarship Scheme
The National Scholarship Scheme is a Central Sector Scheme by the Ministry of Tribal Affairs with the objective to encourage meritorious students from Scheduled Tribes to pursue courses at the Graduate and Post Graduate levels in premier institutes identified by the Ministry in professional fields such as Management, Medicine/Science, Engineering and Technology, Humanities, Law and Social Science, etc.
Salient Features of the Scheme -
This is a Central Sector Scheme, fully funded by the Ministry of Tribal Affairs, and provides 100% funding to Scheduled Tribe (ST) students in courses and institutes approved and notified by the Ministry of Tribal Affairs. The scholarship once awarded will continue till completion of the course tenure, subject to satisfactory performance of the student, as assessed by the institute.","{""AGE"": [""2021-22""], ""GENDER"": [], ""LOCATION"": [""ST"", ""ST""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [""ST"", ""ST""], ""EDUCATION"": [""graduate"", ""Master"", ""Master"", ""Graduate"", ""Graduate""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Term Loan under NSKFDC- Haryana,"The scheme ""Term Loan under NSKFDC"" is implemented by the Haryana Scheduled Castes Finance and Development Corporation (HSFDC) in collaboration with the National Safai Karamcharis Finance & Development Corporation (NSKFDC). The HSFDC is a Company registered under the Companies Act, 1956 on 02.01.1971. It is a wholly Government-owned Corporation with a 51% share of the State Government and a 49% share of the Government of India.
Under this scheme, loans are provided to Safai Karamcharis and their dependents for any viable income-generating activities with a maximum cost of up to ₹15,00,000/- per beneficiary. These income-generating activities include auto repair and spare parts shops, electrical goods workshops, leather footwear manufacturing units, beauty parlors, welding works, carpentry, photography, grocery shops, sanitary supply stores, ready-made garments, cyber cafes, band parties, tent houses, etc. The beneficiary should be between 18 and 55 years of age and should be either Safai Karamchari or his/her dependent.","{""AGE"": [""1956"", ""02.01.1971"", ""between 18 and 55 years of age""], ""GENDER"": [], ""LOCATION"": [""Safai""], ""OCCUPATION"": [], ""INCOME"": [""up to \u20b915,00,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Chief Minister Higher Education Scholarship Scheme,"The ""Chief Minister Higher Education Scholarship Scheme"" was launched by the Higher Education Department, Government of Rajasthan. This scheme aims to enhance educational levels and provide assistance to children from low-income families. The scholarship is provided to the first one lakh students whose annual family income is up to ₹2,50,000/- and who are not receiving any other scholarship or financial assistance.
This scheme aims to provide scholarships to the following:-
New one lakh students who fulfill the eligibility.
All such students who have approved scholarships under this scheme last year and who are continuously studying in institutions of higher education.
Objective:
The objective of this scheme is to provide financial assistance to talented students of low-income groups for pursuing higher education.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""up to \u20b92,50,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Dr. Panjabrao Deshmukh Hostel Maintenance Allowance,"The Panjabrao Deshmukh Scheme is a welfare scheme launched by the Government of Maharashtra to provide financial assistance to students from economically weaker sections of the society who are pursuing higher education. The scheme provides financial assistance to students for their tuition fees, examination fees, and other related expenses.
﻿
The objective of this scheme is to encourage and support students from economically weaker sections of the society to pursue higher education and to help them achieve their career aspirations. The scheme aims to bridge the gap between the economically privileged and underprivileged students and to ensure that every deserving student has equal access to higher education.
﻿
Under this scheme, eligible students can apply for financial assistance through the online portal of the scheme. The applicants are required to provide their personal details, academic records, income certificate, and other relevant documents as per the guidelines of the scheme. The applications are then verified and scrutinized by the authorities, and the financial assistance is provided to the eligible students directly to their bank accounts.
﻿
Overall, the Panjabrao Deshmukh Scheme is an important initiative by the Government of Maharashtra towards the goal of inclusive and equitable education. It provides a much-needed financial support system for students from economically weaker sections of the society, thereby helping them to achieve their educational goals and aspirations.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,"The scheme “Skill Upgradation and Mahila Coir Yojana” is a component of “Coir Vikas Yojana (CVY)” and the scheme was launched by the Ministry of Micro, Small & Medium Enterprises, Government of India. The Scheme, “Skill Upgradation & Mahila Coir Yojana” consists of two distinct components i.e. (a) Skill Upgradation, (b) Mahila Coir Yojana.
Under the scheme, the Board is conducting various programmes like the Entrepreneurship Development Programme, Awareness Programme, Workshop, Seminar, Exposure Tour, etc. to attract more entrepreneurs to start coir processing units. In order to create the skilled manpower required for the coir industry the Board is implementing various training programmes such as training on manufacturing of value-added coir products, spinning, weaving and other product diversification processes. All these training programmes are also available for women under the Mahila Coir Yojana.
The objectives of the scheme are to:-
train personnel in the cadres of Supervisors/Instructors/Artisans to meet the requirement of skilled manpower for the development of the coir industry.
help in the transfer of technology to non-traditional areas through the development of skills of coir workers.
provide coir yarn spinning ratts, coir processing equipment, machinery items, etc. with a subsidy of 75% under the Mahila Coir Yojana.
provide self-employment to rural woman artisans in regions producing coir fibre and enabling them to get better returns through the improvement of productivity and quality. Providing them with a better work environment and eliminating of drudgery involved in the traditional methods of spinning and product manufacturing.
encourage new entrepreneurs both in traditional and non-traditional areas under Entrepreneurship Development Programmes to venture into coir industry and trade and thereby accelerate the development of the industry in the existing and new areas.
aim at inculcating quality consciousness among the workers at the grassroots level and educate them on proper methods of producing standard quality fibre, yarn and products.
create awareness among the coconut growers, entrepreneurs etc. to set up coir-based units and to modernize the existing units for better productivity, and quality and also enhance earnings.
contribute to generating employment in rural areas of the coconut-producing States.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Workshop"", ""States""], ""OCCUPATION"": [""the Entrepreneurship Development Programme"", ""Entrepreneurship Development Programmes""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Funeral Assistance (HBOCWWB),"The scheme “Funeral Assistance” is implemented by the Haryana Building and Other Construction Workers Welfare Board (HBOCWWB), Labour Department, Government of Haryana. Under this scheme, the Board provides financial assistance for funeral expenses to the nominee or legal heir of a registered worker in the event of their death.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [""the Haryana Building and Other Construction Workers Welfare Board""], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Junior Research Fellowship,"The Junior Research Fellowship (JRF) from the Department of Biotechnology (DBT) is a fellowship program that provides financial support to students who are pursuing doctoral research in biotechnology and life sciences. The JRF program is open to all Indian nationals who have a master's degree in biotechnology or a related field.
﻿","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""master""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhyamantri Apprenticeship Yojana,"The ""Mukhyamantri Apprenticeship Yojana (MAY)"", launched in 2018-19 by the Labour and Employment Department, Gujarat, seeks to create a robust ecosystem for skill development through ""on-the-job"" and ""off-the-job"" training. The scheme aligns with national initiatives like the ""National Apprenticeship Promotion Scheme (NAPS)"" and the ""National Apprenticeship Training Scheme (NATS)"", targeting to engage 1 lakh youth in apprenticeships. The scheme provides additional incentives for employers beyond the benefits under NAPS and NATS.","{""AGE"": [""2018-19""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Overseas Educational Loan Scheme,"The ""Overseas Educational Loan Scheme"" was launched by the Minorities Welfare Department, Government of Karnataka, and implemented by the Karnataka Minorities Development Corporation. The scheme objective is to provide financial/loan assistance to students belonging to minority communities who are pursuing graduate or postgraduate degree courses in recognized universities abroad.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [""graduate"", ""postgraduate""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Primary Cooperative Agriculture and Rural Development Bank: For Sericulture In Irrigated Area,"The ""Primary Cooperative Agriculture and Rural Development Bank: For Sericulture In Irrigated Area"" scheme launched by the Co-operation, Food and Consumer Protection Department, Tamil Nadu, aims to support farmers involved in sericulture within irrigated areas by offering loans ranging from ₹49,000/- to ₹79,000/- per acre. The interest rate varies between 11% to 12.75% (subject to change).","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""\u20b949,000/- to \u20b979,000/-""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Senior Citizens Saving Scheme,"The Senior Citizens’ Saving Scheme is a retirement benefit program by the Government of India. Individuals over 60 years can opt for the SCSS scheme by investing by making an individual or joint investment. In addition, this scheme provides tax benefits. In SCSS, the installment amount ranges between ₹1,000 and ₹15 lakhs. This amount is constricted to the retirement benefits. One must deposit it in the Senior Citizen Scheme account within a month from receiving retirement benefits from his/her employer. Moreover, if individual deposits more than the given amount, the additional funds get refunded to the account holder. One can extend the scheme for 3 more years from its date of maturity. The Interest Rate is 7.40% per annum (Q2 FY 2022-23). The Tenure is 5 years (with an option to extend it for 3 more years). The Minimum Investment Amount is ₹1,000. The Maximum Investment Amount ₹15,00,000 or the amount received on retirement, whichever is lower.","{""AGE"": [""60 years"", ""3 more years"", ""2022-23"", ""5 years"", ""3 more years""], ""GENDER"": [], ""LOCATION"": [""Tenure""], ""OCCUPATION"": [], ""INCOME"": [""between \u20b91,000 and \u20b915"", ""1,000"", ""15,00,000""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Incentives to Encourage Consumption of Local Raw Material Scheme, 2008","Launched in 2008, the scheme ""Incentives to Encourage Consumption of Local Raw Material Scheme, 2008"" by the Directorate of Industries, Trade and Commerce, Government of Goa aimed to encourage the consumption of local raw materials, thereby supporting units manufacturing such materials and promoting the economies of villages supplying or producing these raw materials, including those in horticulture, food processing, and cluster businesses. The scheme provided financial incentives such as reimbursement of up to 90% of Sales Tax paid and a 25% subsidy on power and water bills, subject to certain conditions. Eligible units included Micro, Small, and Medium Enterprises (MSMEs) under the green and specified orange categories, which consumed a minimum of 50% local raw materials. The scheme was implemented by the Directorate of Industries, Trade and Commerce, Government of Goa. The scheme remained in force until 31st March, 2011.","{""AGE"": [""2008"", ""2008"", ""31st March, 2011""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
State Pre-metric Scholarship For Disabled,"The ""State Pre-metric Scholarship for Disabled"" is a scheme by the Department of Social Justice & Special Assistance, Govt. of Maharashtra. The objective of this scheme is to encourage students with disability (SwDs) to pursue education. Only citizens who are permanent residents of the state of Maharashtra are eligible to apply for this scheme. This scheme is 100% funded by the Govt. of Maharashtra.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Govt""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""Disabled"", ""disability""]}"
